Category,Attribute,Score_Range,Description_CN
技术属性,传球 (Passing),60-68 (业余初学),"传球非常随意，经常失误，缺乏准度和力量概念。"
技术属性,传球 (Passing),69-76 (业余入门),"能完成近距离简单传球，但长传或有压迫下的传球质量不高，失误较多。"
技术属性,传球 (Passing),77-84 (业余平均),"具备一定的传球准度，能完成大部分中短距离传球，偶尔有不错的直塞或转移。"
技术属性,传球 (Passing),85-92 (业余优秀),"传球准确，思路清晰，能送出有威胁的传球，是球队组织核心的潜力。"
技术属性,传球 (Passing),93-99 (业余顶尖),"传球大师级别（业余），精准度和创造力俱佳，能用传球撕开对方防线。"
技术属性,停球 (First Touch),60-68 (业余初学),"停球经常停大或停丢，难以控制，球离身体远。"
技术属性,停球 (First Touch),69-76 (业余入门),"能勉强停住一般来球，但处理不够细腻，为下一步动作衔接带来困难。"
技术属性,停球 (First Touch),77-84 (业余平均),"多数情况下能将球稳妥停在脚下，为下一步动作做好准备。"
技术属性,停球 (First Touch),85-92 (业余优秀),"停球技术娴熟，能舒服地将各种来球控制好，并迅速衔接下一个动作。"
技术属性,停球 (First Touch),93-99 (业余顶尖),"停球如吸盘（业余），在对抗下也能稳定控球，展现极佳球感。"
技术属性,盘带 (Dribbling),60-68 (业余初学),"几乎无法带球前进，容易被断，控球生疏。"
技术属性,盘带 (Dribbling),69-76 (业余入门),"能短距离带球，但速度慢，变化少，容易被有经验的防守者断下。"
技术属性,盘带 (Dribbling),77-84 (业余平均),"具备一定的带球能力，偶尔可以完成过人，但不够稳定。"
技术属性,盘带 (Dribbling),85-92 (业余优秀),"带球技术较好，能利用速度或技巧摆脱防守，对对方防线造成威胁。"
技术属性,盘带 (Dribbling),93-99 (业余顶尖),"盘带高手（业余），人球结合出色，能连续突破，是球队进攻利器。"
技术属性,射门 (Finishing),60-68 (业余初学),"射门毫无准星，经常打飞或软弱无力，把握不住机会。"
技术属性,射门 (Finishing),69-76 (业余入门),"偶尔能射正，但多数射门质量不高，缺乏力量和角度。"
技术属性,射门 (Finishing),77-84 (业余平均),"在熟悉的位置能完成有威胁的射门，具备一定的进球能力。"
技术属性,射门 (Finishing),85-92 (业余优秀),"射术精湛（业余），冷静且果断，把握机会能力强，是球队的稳定得分点。"
技术属性,射门 (Finishing),93-99 (业余顶尖),"天生射手（业余），各种机会都能转化为进球，射门方式多样且高效。"
技术属性,头球 (Heading),60-68 (业余初学),"害怕争顶，起跳时机和顶球部位掌握差，几乎无法准确顶到球。"
技术属性,头球 (Heading),69-76 (业余入门),"能参与争顶，但成功率不高，头球力量和方向控制一般。"
技术属性,头球 (Heading),77-84 (业余平均),"具备一定的头球能力，攻防两端都能起到一定作用，能顶到目标区域。"
技术属性,头球 (Heading),85-92 (业余优秀),"头球出色（业余），争顶能力强，无论是进攻还是防守都能贡献关键头球。"
技术属性,头球 (Heading),93-99 (业余顶尖),"空霸级别（业余），争顶几乎不败，头球攻门和解围都极具威胁和统治力。"
技术属性,抢断 (Tackling),60-68 (业余初学),"防守意识差，出脚鲁莽，容易犯规或被轻易晃过。"
技术属性,抢断 (Tackling),69-76 (业余入门),"能尝试抢断，但时机和方式掌握不佳，成功率低，容易失位。"
技术属性,抢断 (Tackling),77-84 (业余平均),"具备一定的抢断能力，能在一对一防守中完成抢断，但不够干净利落。"
技术属性,抢断 (Tackling),85-92 (业余优秀),"抢断凶狠且有效（业余），判断准确，下脚干净，是可靠的防守屏障。"
技术属性,抢断 (Tackling),93-99 (业余顶尖),"抢断大师（业余），防守滴水不漏，预判和技术俱佳，让对方前锋头疼。"
技术属性,远射 (Long Shots),60-68 (业余初学),"几乎没有远射尝试，或者尝试也毫无威胁，纯粹浪费球权。"
技术属性,远射 (Long Shots),69-76 (业余入门),"偶尔尝试远射，但通常缺乏力量和准度，很难命中目标。"
技术属性,远射 (Long Shots),77-84 (业余平均),"具备一定的远射能力，偶尔能打出有威胁的射门，让门将不敢怠慢。"
技术属性,远射 (Long Shots),85-92 (业余优秀),"远射功底扎实（业余），能稳定地从禁区外发炮，是球队打不开局面时的有效手段。"
技术属性,远射 (Long Shots),93-99 (业余顶尖),"远射重炮手（业余），射程远，力量足，精度高，经常打入精彩世界波。"
技术属性,传中 (Crossing),60-68 (业余初学),"传中质量极差，落点毫无准星，无法找到队友。"
技术属性,传中 (Crossing),69-76 (业余入门),"能将球传到禁区附近，但落点和弧度控制不佳，队友难以抢点。"
技术属性,传中 (Crossing),77-84 (业余平均),"具备一定的传中能力，能将球传到大致区域，偶尔能制造威胁。"
技术属性,传中 (Crossing),85-92 (业余优秀),"传中精准（业余），球速和弧线俱佳，能为队友送出舒服的助攻机会。"
技术属性,传中 (Crossing),93-99 (业余顶尖),"传中大师（业余），如同精确制导，总能找到禁区内的队友，助攻能力极强。"
技术属性,定位球 (Set Pieces),60-68 (业余初学),"主罚定位球毫无章法，无论是传球还是射门都缺乏准度。"
技术属性,定位球 (Set Pieces),69-76 (业余入门),"能将定位球开到禁区，但质量一般，直接得分或助攻能力弱。"
技术属性,定位球 (Set Pieces),77-84 (业余平均),"具备一定的定位球主罚能力，能开出有一定威胁的角球或任意球。"
技术属性,定位球 (Set Pieces),85-92 (业余优秀),"定位球专家（业余），主罚的任意球或角球常能制造混乱或直接得分/助攻。"
技术属性,定位球 (Set Pieces),93-99 (业余顶尖),"定位球大师（业余），脚法出众，是球队重要的得分和助攻手段，对方门将的噩梦。"
技术属性,技术综合 (Technique),60-68 (业余初学),"球感生疏，动作僵硬，基本功非常薄弱。"
技术属性,技术综合 (Technique),69-76 (业余入门),"具备一些基础技术动作，但不够协调流畅，处理复杂球能力差。"
技术属性,技术综合 (Technique),77-84 (业余平均),"技术动作规范，球感尚可，能完成大部分业余比赛所需的技术动作。"
技术属性,技术综合 (Technique),85-92 (业余优秀),"技术功底扎实（业余），球感出色，动作协调舒展，能做出一些有难度的技术动作。"
技术属性,技术综合 (Technique),93-99 (业余顶尖),"技术细腻华丽（业余），人球结合好，观赏性和实用性兼备，天赋异禀。"
精神属性,积极性 (Aggression/Work Rate),60-68 (业余初学),"场上懒散，不愿跑动和拼抢，缺乏比赛投入。"
